Entity,Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Brazil,60135,103721,83931,120034,766112,123352,116806,50167,212521,19284,70123,22707,446161,471136,26548,581653,109455,63192,107149,275602,218155,139420,260315,270623,10288,12243,83438,511389,48054,18396
Brunei,60135,597,162,177,1794,72,164,38,410,33,120,75,716,225,49,848,133,80,281,392,264,431,340,146,30,209,90,1217,30,14
Bulgaria,60135,21094,7949,7565,115097,11078,6091,4692,15162,2195,3173,833,42765,30619,1925,51185,16492,9166,13956,14238,18373,8823,33585,7075,1371,1034,3722,84328,3733,329
Burkina Faso,60135,5357,1948,2650,16359,2392,2108,671,10745,780,1461,504,18954,16135,519,25315,4451,1980,2218,25186,3958,6299,4687,7600,189,612,564,10405,513,211
Burundi,60135,3344,928,2689,6883,1762,1042,958,6302,1200,1189,212,9377,8588,757,9786,2098,1199,1762,16786,2436,2983,2001,13247,168,1751,891,6354,364,220
Cambodia,60135,26448,2189,5641,53182,3469,2858,687,20437,1083,1903,547,18618,10954,2779,23741,3486,4100,5911,16309,7527,6202,6161,6666,303,5048,1337,24550,1638,442
Cameroon,60135,1727,1815,4141,28783,3480,2830,595,13680,952,2201,808,24639,23003,383,31514,6727,3003,4103,31374,4969,10294,13135,12072,313,2830,942,20123,778,412
Canada,60135,43904,44853,27545,575759,13790,23122,27957,74557,3980,42060,23544,164374,153179,6602,77329,65674,20823,52874,19204,53357,83155,122380,52334,1273,3387,8758,251420,9597,13393
Cape Verde,60135,919,128,247,1301,102,90,25,423,0,57,41,740,1553,30,2184,212,167,95,786,240,261,612,1091,0,23,40,760,31,0
Central African Republic,60135,1961,440,1222,6937,1031,576,362,3509,413,582,101,5709,3487,268,6981,1163,592,578,10247,1234,1664,1001,5893,98,421,294,3038,178,143
Chad,60135,7434,1106,1612,12226,1454,1324,409,7305,607,779,322,7804,11400,317,17779,3200,1173,972,16402,2459,4231,2479,4868,132,404,375,6999,364,135
Chile,60135,12253,19573,4412,81032,4435,62207,4995,20461,1773,12215,4768,39983,55402,3292,110083,13405,5009,12767,27099,10694,18501,34147,25030,3477,580,1953,62838,5110,1510
China,60135,6140780,403225,413744,14203805,444916,673672,113560,1865845,104142,253124,86065,1941291,1038052,148522,11575041,797050,390026,490140,1145534,1469707,832104,1854761,7032657,28348,808694,118393,4689378,290244,56137
Colombia,60135,24382,13193,11696,128971,14237,28112,8152,53501,5122,12352,6455,69712,85869,7958,173790,14467,8655,24812,62869,29617,30787,44298,24842,3047,2221,3081,92908,10750,1782
Comoros,60135,317,115,207,781,118,104,82,452,90,114,30,1053,1103,75,815,220,153,291,1418,169,312,333,1333,7,132,76,784,48,28
